seed,overlap_tolerance,crpa_naive_overlap,crpa_contribution_overlap,overlap_abs_diff,crpa_naive_retrieval,crpa_contribution_retrieval,retrieval_delta,crpa_naive_eval_loss,crpa_contribution_eval_loss,eval_loss_delta,crpa_naive_above_chance,crpa_contribution_above_chance,crpa_naive_lambda_red,crpa_contribution_lambda_red,crpa_naive_removal_budget,crpa_contribution_removal_budget,crpa_naive_run_id,crpa_contribution_run_id
42,0.01,0.24040176967779794,0.2402732198437055,0.00012854983409243959,6.25,4.583333333333333,-1.666666666666667,6.749713706970215,6.738667249679565,-0.011046457290649236,True,False,0.05,0.0,8,8,81bdb00fd649,d24b87de5798
2024,0.01,0.279070474828283,0.2793808790544669,0.0003104042261838913,3.3333333333333335,3.3333333333333335,0.0,6.934981346130371,6.9589924812316895,0.02401113510131836,False,False,0.2,0.1,8,8,d3e46daecf90,41c5b8df6b4d
42,0.01,0.233861048395435,0.23464455331365267,0.000783504918217659,5.833333333333333,3.3333333333333335,-2.4999999999999996,6.747332668304443,6.765501546859741,0.01816887855529803,True,False,0.01,0.2,8,8,bdb14b50a5b7,c646259d8261
1337,0.01,0.22326242675383887,0.22435090287278095,0.0010884761189420833,5.0,12.083333333333334,7.083333333333334,6.741135931015014,6.760352849960327,0.019216918945312855,False,True,0.2,0.02,8,8,f8e4be65ae98,08829ae5f8f2
42,0.01,0.24260446274032196,0.24435440233598152,0.0017499395956595554,4.583333333333333,3.3333333333333335,-1.2499999999999996,6.75459885597229,6.748790121078491,-0.005808734893799183,False,False,0.02,0.02,8,8,2a61d354d13b,4f316bd2c1e6
42,0.01,0.23640093517800173,0.23464455331365267,0.0017563818643490658,4.166666666666667,3.3333333333333335,-0.8333333333333335,6.757604122161865,6.765501546859741,0.007897424697875799,False,False,0.1,0.2,8,8,72df04a95708,c646259d8261
2024,0.01,0.25758816363910836,0.26009099061290425,0.002502826973795891,3.3333333333333335,3.3333333333333335,0.0,6.881507015228271,6.95383620262146,0.07232918739318883,False,False,0.01,0.0,8,8,9f29ffd43b2c,3712ecea11ad
1337,0.01,0.22169604866454998,0.22435090287278095,0.0026548542082309723,11.666666666666666,12.083333333333334,0.41666666666666785,6.749875926971436,6.760352849960327,0.010476922988891246,True,True,0.05,0.02,8,8,3be27be557ea,08829ae5f8f2
1337,0.01,0.23917750548571348,0.24258810902635256,0.0034106035406390733,4.166666666666667,4.166666666666667,0.0,6.731800746917725,6.772825574874878,0.04102482795715279,False,False,0.02,0.01,8,8,0af36a342a9c,ca8a90a1fde6
1337,0.01,0.23842597721765438,0.24258810902635256,0.004162131808698177,5.416666666666667,4.166666666666667,-1.25,6.735523843765259,6.772825574874878,0.03730173110961843,True,False,0.1,0.01,8,8,5167b76e277a,ca8a90a1fde6
2024,0.01,0.27057388983666897,0.2750404408822457,0.00446655104557675,3.3333333333333335,3.3333333333333335,0.0,6.870868682861328,6.8438615798950195,-0.027007102966308594,False,False,0.1,0.02,8,8,140a77a9201e,4f00d903fb33
2024,0.01,0.25266170874238014,0.26009099061290425,0.007429281870524107,3.3333333333333335,3.3333333333333335,0.0,6.864827394485474,6.95383620262146,0.08900880813598633,False,False,0.02,0.0,8,8,5e74b9a955bb,3712ecea11ad
